expcode,subject,session,condition,word,onset,alive,instrument,vehicle,tool,animal,bird,fruit,multinomial
MRH026,401,1,vis,accordion,3.328,0,1,0,0,0,0,0,1
MRH026,401,1,vis,aeroplane,211.726,0,0,1,0,0,0,0,2
MRH026,401,1,vis,apple,290.598,1,0,0,0,0,0,1,6
MRH026,401,1,vis,axe,220.162,0,0,0,1,0,0,0,3
MRH026,401,1,vis,banana,276.537,1,0,0,0,0,0,1,6
MRH026,401,1,vis,bicycle,186.367,0,0,1,0,0,0,0,2
MRH026,401,1,vis,brush,268.101,0,0,0,1,0,0,0,3
MRH026,401,1,vis,bus,113.185,0,0,1,0,0,0,0,2
MRH026,401,1,vis,car,121.622,0,0,1,0,0,0,0,2
MRH026,401,1,vis,cat,327.156,1,0,0,0,1,0,0,4
MRH026,401,1,vis,chain,82.185,0,0,0,1,0,0,0,3
MRH026,401,1,vis,cherry,180.741,1,0,0,0,0,0,1,6
MRH026,401,1,vis,chicken,270.913,1,0,0,0,0,1,0,5
MRH026,401,1,vis,cow,335.642,1,0,0,0,1,0,0,4
MRH026,401,1,vis,dog,375.095,1,0,0,0,1,0,0,4
MRH026,401,1,vis,drum,93.449,0,1,0,0,0,0,0,1
MRH026,401,1,vis,duck,313.095,1,0,0,0,0,1,0,5
MRH026,401,1,vis,eagle,282.162,1,0,0,0,0,1,0,5
MRH026,401,1,vis,elephant,54.031,1,0,0,0,1,0,0,4
MRH026,401,1,vis,flute,163.853,0,1,0,0,0,0,0,1
MRH026,401,1,vis,frenchhorn,251.178,0,1,0,0,0,0,0,1
MRH026,401,1,vis,grapes,428.575,1,0,0,0,0,0,1,6
MRH026,401,1,vis,guitar,442.652,0,1,0,0,0,0,0,1
MRH026,401,1,vis,hammer,222.974,0,0,0,1,0,0,0,3
MRH026,401,1,vis,harp,90.622,0,1,0,0,0,0,0,1
MRH026,401,1,vis,helicopter,141.356,0,0,1,0,0,0,0,2
MRH026,401,1,vis,horse,417.326,1,0,0,0,1,0,0,4
MRH026,401,1,vis,ladder,130.108,0,0,0,1,0,0,0,3
MRH026,401,1,vis,lemon,110.373,1,0,0,0,0,0,1,6
MRH026,401,1,vis,lion,99.125,1,0,0,0,1,0,0,4
MRH026,401,1,vis,monkey,329.983,1,0,0,0,1,0,0,4
MRH026,401,1,vis,motorcycle,194.803,0,0,1,0,0,0,0,2
MRH026,401,1,vis,ostrich,248.365,1,0,0,0,0,1,0,5
MRH026,401,1,vis,owl,34.294,1,0,0,0,0,1,0,5
MRH026,401,1,vis,peacock,149.793,1,0,0,0,0,1,0,5
MRH026,401,1,vis,penguin,349.702,1,0,0,0,0,1,0,5
MRH026,401,1,vis,piano,425.762,0,1,0,0,0,0,0,1
MRH026,401,1,vis,pliers,403.216,0,0,0,1,0,0,0,3
MRH026,401,1,vis,pumpkin,28.654,1,0,0,0,0,0,1,6
MRH026,401,1,vis,rooster,253.991,1,0,0,0,0,1,0,5
MRH026,401,1,vis,scissors,31.468,0,0,0,1,0,0,0,3
MRH026,401,1,vis,screwdriver,25.827,0,0,0,1,0,0,0,3
MRH026,401,1,vis,screw,389.155,0,0,0,1,0,0,0,3
MRH026,401,1,vis,sheep,135.732,1,0,0,0,1,0,0,4
MRH026,401,1,vis,sled,17.39,0,0,1,0,0,0,0,2
MRH026,401,1,vis,squirrel,431.402,1,0,0,0,1,0,0,4
MRH026,401,1,vis,strawberry,228.598,1,0,0,0,0,0,1,6
MRH026,401,1,vis,swan,0.501,1,0,0,0,0,1,0,5
MRH026,401,1,vis,tomato,437.028,1,0,0,0,0,0,1,6
MRH026,401,1,vis,train,242.724,0,0,1,0,0,0,0,2
MRH026,401,1,vis,truck,245.538,0,0,1,0,0,0,0,2
MRH026,401,1,vis,trumpet,299.034,0,1,0,0,0,0,0,1
MRH026,401,1,vis,violin,239.897,0,1,0,0,0,0,0,1
MRH026,401,1,vis,watermelon,296.222,1,0,0,0,0,0,1,6
MRH026,401,2,vis,accordion,338.334,0,1,0,0,0,0,0,1
MRH026,401,2,vis,aeroplane,90.534,0,0,1,0,0,0,0,2
MRH026,401,2,vis,apple,366.456,1,0,0,0,0,0,1,6
MRH026,401,2,vis,axe,17.387,0,0,0,1,0,0,0,3
MRH026,401,2,vis,banana,307.368,1,0,0,0,0,0,1,6
MRH026,401,2,vis,bicycle,110.22,0,0,1,0,0,0,0,2
MRH026,401,2,vis,brush,144.014,0,0,0,1,0,0,0,3
MRH026,401,2,vis,bus,101.784,0,0,1,0,0,0,0,2
MRH026,401,2,vis,car,0.513,0,0,1,0,0,0,0,2
MRH026,401,2,vis,cat,445.294,1,0,0,0,1,0,0,4
MRH026,401,2,vis,chain,115.844,0,0,0,1,0,0,0,3
MRH026,401,2,vis,cherry,82.081,1,0,0,0,0,0,1,6
MRH026,401,2,vis,chicken,141.187,1,0,0,0,0,1,0,5
MRH026,401,2,vis,cow,419.886,1,0,0,0,1,0,0,4
MRH026,401,2,vis,dog,253.871,1,0,0,0,1,0,0,4
MRH026,401,2,vis,drum,293.291,0,1,0,0,0,0,0,1
MRH026,401,2,vis,duck,149.64,1,0,0,0,0,1,0,5
MRH026,401,2,vis,eagle,152.467,1,0,0,0,0,1,0,5
MRH026,401,2,vis,elephant,65.193,1,0,0,0,1,0,0,4
MRH026,401,2,vis,flute,388.952,0,1,0,0,0,0,0,1
MRH026,401,2,vis,frenchhorn,87.707,0,1,0,0,0,0,0,1
MRH026,401,2,vis,grapes,211.623,1,0,0,0,0,0,1,6
MRH026,401,2,vis,guitar,270.794,0,1,0,0,0,0,0,1
MRH026,401,2,vis,hammer,11.763,0,0,0,1,0,0,0,3
MRH026,401,2,vis,harp,425.526,0,1,0,0,0,0,0,1
MRH026,401,2,vis,helicopter,8.951,0,0,1,0,0,0,0,2
MRH026,401,2,vis,horse,79.254,1,0,0,0,1,0,0,4
MRH026,401,2,vis,ladder,45.508,0,0,0,1,0,0,0,3
MRH026,401,2,vis,lemon,113.032,1,0,0,0,0,0,1,6
MRH026,401,2,vis,lion,318.616,1,0,0,0,1,0,0,4
MRH026,401,2,vis,monkey,56.757,1,0,0,0,1,0,0,4
MRH026,401,2,vis,motorcycle,431.234,0,0,1,0,0,0,0,2
MRH026,401,2,vis,ostrich,405.825,1,0,0,0,0,1,0,5
MRH026,401,2,vis,owl,380.516,1,0,0,0,0,1,0,5
MRH026,401,2,vis,peacock,180.64,1,0,0,0,0,1,0,5
MRH026,401,2,vis,penguin,172.203,1,0,0,0,0,1,0,5
MRH026,401,2,vis,piano,42.696,0,1,0,0,0,0,0,1
MRH026,401,2,vis,pliers,20.199,0,0,0,1,0,0,0,3
MRH026,401,2,vis,pumpkin,124.281,1,0,0,0,0,0,1,6
MRH026,401,2,vis,rooster,183.467,1,0,0,0,0,1,0,5
MRH026,401,2,vis,scissors,166.579,0,0,0,1,0,0,0,3
MRH026,401,2,vis,screwdriver,222.888,0,0,0,1,0,0,0,3
MRH026,401,2,vis,screw,186.28,0,0,0,1,0,0,0,3
MRH026,401,2,vis,sheep,279.23,1,0,0,0,1,0,0,4
MRH026,401,2,vis,sled,214.45,0,0,1,0,0,0,0,2
MRH026,401,2,vis,squirrel,37.072,1,0,0,0,1,0,0,4
MRH026,401,2,vis,strawberry,14.575,1,0,0,0,0,0,1,6
MRH026,401,2,vis,swan,231.374,1,0,0,0,0,1,0,5
MRH026,401,2,vis,tomato,135.563,1,0,0,0,0,0,1,6
MRH026,401,2,vis,train,312.992,0,0,1,0,0,0,0,2
MRH026,401,2,vis,truck,448.107,0,0,1,0,0,0,0,2
MRH026,401,2,vis,trumpet,239.81,0,1,0,0,0,0,0,1
MRH026,401,2,vis,violin,191.905,0,1,0,0,0,0,0,1
MRH026,401,2,vis,watermelon,315.804,1,0,0,0,0,0,1,6
MRH026,401,4,vis,accordion,73.646,0,1,0,0,0,0,0,1
MRH026,401,4,vis,aeroplane,447.94,0,0,1,0,0,0,0,2
MRH026,401,4,vis,apple,304.489,1,0,0,0,0,0,1,6
MRH026,401,4,vis,axe,284.755,0,0,0,1,0,0,0,3
MRH026,401,4,vis,banana,321.379,1,0,0,0,0,0,1,6
MRH026,401,4,vis,bicycle,6.139,0,0,1,0,0,0,0,2
MRH026,401,4,vis,brush,439.504,0,0,0,1,0,0,0,3
MRH026,401,4,vis,bus,265.07,0,0,1,0,0,0,0,2
MRH026,401,4,vis,car,132.716,0,0,1,0,0,0,0,2
MRH026,401,4,vis,cat,220.01,1,0,0,0,1,0,0,4
MRH026,401,4,vis,chain,169.34,0,0,0,1,0,0,0,3
MRH026,401,4,vis,cherry,329.815,1,0,0,0,0,0,1,6
MRH026,401,4,vis,chicken,228.448,1,0,0,0,0,1,0,5
MRH026,401,4,vis,cow,17.388,1,0,0,0,1,0,0,4
MRH026,401,4,vis,dog,166.513,1,0,0,0,1,0,0,4
MRH026,401,4,vis,drum,87.707,0,1,0,0,0,0,0,1
MRH026,401,4,vis,duck,270.694,1,0,0,0,0,1,0,5
MRH026,401,4,vis,eagle,296.053,1,0,0,0,0,1,0,5
MRH026,401,4,vis,elephant,239.744,1,0,0,0,1,0,0,4
MRH026,401,4,vis,flute,377.621,0,1,0,0,0,0,0,1
MRH026,401,4,vis,frenchhorn,405.759,0,1,0,0,0,0,0,1
MRH026,401,4,vis,grapes,363.56,1,0,0,0,0,0,1,6
MRH026,401,4,vis,guitar,129.889,0,1,0,0,0,0,0,1
MRH026,401,4,vis,hammer,113.016,0,0,0,1,0,0,0,3
MRH026,401,4,vis,harp,48.337,0,1,0,0,0,0,0,1
MRH026,401,4,vis,helicopter,248.181,0,0,1,0,0,0,0,2
MRH026,401,4,vis,horse,194.7,1,0,0,0,1,0,0,4
MRH026,401,4,vis,ladder,143.966,0,0,0,1,0,0,0,3
MRH026,401,4,vis,lemon,141.154,1,0,0,0,0,0,1,6
MRH026,401,4,vis,lion,332.627,1,0,0,0,1,0,0,4
MRH026,401,4,vis,monkey,211.573,1,0,0,0,1,0,0,4
MRH026,401,4,vis,motorcycle,394.494,0,0,1,0,0,0,0,2
MRH026,401,4,vis,ostrich,310.114,1,0,0,0,0,1,0,5
MRH026,401,4,vis,owl,397.321,1,0,0,0,0,1,0,5
MRH026,401,4,vis,peacock,20.215,1,0,0,0,0,1,0,5
MRH026,401,4,vis,penguin,349.5,1,0,0,0,0,1,0,5
MRH026,401,4,vis,piano,121.452,0,1,0,0,0,0,0,1
MRH026,401,4,vis,pliers,180.64,0,0,0,1,0,0,0,3
MRH026,401,4,vis,pumpkin,214.385,1,0,0,0,0,0,1,6
MRH026,401,4,vis,rooster,380.433,1,0,0,0,0,1,0,5
MRH026,401,4,vis,scissors,0.513,0,0,0,1,0,0,0,3
MRH026,401,4,vis,screwdriver,414.195,0,0,0,1,0,0,0,3
MRH026,401,4,vis,screw,208.761,0,0,0,1,0,0,0,3
MRH026,401,4,vis,sheep,312.941,1,0,0,0,1,0,0,4
MRH026,401,4,vis,sled,433.88,0,0,1,0,0,0,0,2
MRH026,401,4,vis,squirrel,98.955,1,0,0,0,1,0,0,4
MRH026,401,4,vis,strawberry,160.889,1,0,0,0,0,0,1,6
MRH026,401,4,vis,swan,445.128,1,0,0,0,0,1,0,5
MRH026,401,4,vis,tomato,183.452,1,0,0,0,0,0,1,6
MRH026,401,4,vis,train,315.754,0,0,1,0,0,0,0,2
MRH026,401,4,vis,truck,360.748,0,0,1,0,0,0,0,2
MRH026,401,4,vis,trumpet,388.869,0,1,0,0,0,0,0,1
MRH026,401,4,vis,violin,11.763,0,1,0,0,0,0,0,1
MRH026,401,4,vis,watermelon,327.003,1,0,0,0,0,0,1,6
MRH026,401,5,vis,accordion,451.272,0,1,0,0,0,0,0,1
MRH026,401,5,vis,aeroplane,400.154,0,0,1,0,0,0,0,2
MRH026,401,5,vis,apple,205.952,1,0,0,0,0,0,1,6
MRH026,401,5,vis,axe,234.073,0,0,0,1,0,0,0,3
MRH026,401,5,vis,banana,220.013,1,0,0,0,0,0,1,6
MRH026,401,5,vis,bicycle,262.195,0,0,1,0,0,0,0,2
MRH026,401,5,vis,brush,352.315,0,0,0,1,0,0,0,3
MRH026,401,5,vis,bus,428.775,0,0,1,0,0,0,0,2
MRH026,401,5,vis,car,99.059,0,0,1,0,0,0,0,2
MRH026,401,5,vis,cat,138.461,1,0,0,0,1,0,0,4
MRH026,401,5,vis,chain,113.136,0,0,0,1,0,0,0,3
MRH026,401,5,vis,cherry,20.22,1,0,0,0,0,0,1,6
MRH026,401,5,vis,chicken,115.963,1,0,0,0,0,1,0,5
MRH026,401,5,vis,cow,0.501,1,0,0,0,1,0,0,4
MRH026,401,5,vis,dog,104.698,1,0,0,0,1,0,0,4
MRH026,401,5,vis,drum,183.455,0,1,0,0,0,0,0,1
MRH026,401,5,vis,duck,211.576,1,0,0,0,0,1,0,5
MRH026,401,5,vis,eagle,383.282,1,0,0,0,0,1,0,5
MRH026,401,5,vis,elephant,397.342,1,0,0,0,1,0,0,4
MRH026,401,5,vis,flute,149.71,0,1,0,0,0,0,0,1
MRH026,401,5,vis,frenchhorn,293.244,0,1,0,0,0,0,0,1
MRH026,401,5,vis,grapes,28.656,1,0,0,0,0,0,1,6
MRH026,401,5,vis,guitar,54.03,0,1,0,0,0,0,0,1
MRH026,401,5,vis,hammer,324.177,0,0,0,1,0,0,0,3
MRH026,401,5,vis,harp,197.516,0,1,0,0,0,0,0,1
MRH026,401,5,vis,helicopter,42.765,0,0,1,0,0,0,0,2
MRH026,401,5,vis,horse,141.274,1,0,0,0,1,0,0,4
MRH026,401,5,vis,ladder,135.649,0,0,0,1,0,0,0,3
MRH026,401,5,vis,lemon,62.483,1,0,0,0,0,0,1,6
MRH026,401,5,vis,lion,307.305,1,0,0,0,1,0,0,4
MRH026,401,5,vis,monkey,312.929,1,0,0,0,1,0,0,4
MRH026,401,5,vis,motorcycle,186.267,0,0,1,0,0,0,0,2
MRH026,401,5,vis,ostrich,440.023,1,0,0,0,0,1,0,5
MRH026,401,5,vis,owl,191.892,1,0,0,0,0,1,0,5
MRH026,401,5,vis,peacock,59.657,1,0,0,0,0,1,0,5
MRH026,401,5,vis,penguin,155.334,1,0,0,0,0,1,0,5
MRH026,401,5,vis,piano,90.622,0,1,0,0,0,0,0,1
MRH026,401,5,vis,pliers,177.831,0,0,0,1,0,0,0,3
MRH026,401,5,vis,pumpkin,70.921,1,0,0,0,0,0,1,6
MRH026,401,5,vis,rooster,290.432,1,0,0,0,0,1,0,5
MRH026,401,5,vis,scissors,417.027,0,0,0,1,0,0,0,3
MRH026,401,5,vis,screwdriver,402.966,0,0,0,1,0,0,0,3
MRH026,401,5,vis,screw,82.186,0,0,0,1,0,0,0,3
MRH026,401,5,vis,sheep,172.207,1,0,0,0,1,0,0,4
MRH026,401,5,vis,sled,101.885,0,0,1,0,0,0,0,2
MRH026,401,5,vis,squirrel,448.459,1,0,0,0,1,0,0,4
MRH026,401,5,vis,strawberry,51.203,1,0,0,0,0,0,1,6
MRH026,401,5,vis,swan,346.691,1,0,0,0,0,1,0,5
MRH026,401,5,vis,tomato,372.033,1,0,0,0,0,0,1,6
MRH026,401,5,vis,train,363.564,0,0,1,0,0,0,0,2
MRH026,401,5,vis,truck,214.388,0,0,1,0,0,0,0,2
MRH026,401,5,vis,trumpet,349.503,0,1,0,0,0,0,0,1
MRH026,401,5,vis,violin,279.184,0,1,0,0,0,0,0,1
MRH026,401,5,vis,watermelon,377.657,1,0,0,0,0,0,1,6
MRH026,402,1,vis,accordion,224.871,0,1,0,0,0,0,0,1
MRH026,402,1,vis,aeroplane,415.132,0,0,1,0,0,0,0,2
MRH026,402,1,vis,apple,295.638,1,0,0,0,0,0,1,6
MRH026,402,1,vis,axe,139.857,0,0,0,1,0,0,0,3
MRH026,402,1,vis,banana,383.912,1,0,0,0,0,0,1,6
MRH026,402,1,vis,bicycle,230.545,0,0,1,0,0,0,0,2
MRH026,402,1,vis,brush,142.719,0,0,0,1,0,0,0,3
